name,team,position
Noah Warren,ANA,D
Stian Solberg,ANA,D
Damian Clara,ANA,G
Lukas Dostal,ANA,G
Petr Mrazek,ANA,G
Ville Husso,ANA,G
Vyacheslav Buteyets,ANA,G
Nico Myatovic,ANA,L
Jeremy Swayman,BOS,G
Joonas Korpisalo,BOS,G
Anton Wahlberg,BUF,C
Riley Fiddler-Schultz,BUF,C
Radim Mrtka,BUF,D
Vsevolod Komarov,BUF,D
Alex Lyon,BUF,G
Colten Ellis,BUF,G
Devon Levi,BUF,G
Ukko-Pekka Luukkonen,BUF,G
Amir Miftakhov,CAR,G
Brandon Bussi,CAR,G
Frederik Andersen,CAR,G
Pyotr Kochetkov,CAR,G
Isac Lundeström,CBJ,C
Elvis Merzlikins,CBJ,G
Jet Greaves,CBJ,G
Olli Maatta,CGY,D
Devin Cooley,CGY,G
Dustin Wolf,CGY,G
Arvid Soderblom,CHI,G
Spencer Knight,CHI,G
Alex Gagne,COL,D
Isak Posch,COL,G
Mackenzie Blackwood,COL,G
Scott Wedgewood,COL,G
Oskar Bäck,DAL,C
Casey DeSmith,DAL,G
Jake Oettinger,DAL,G
Cam Talbot,DET,G
John Gibson,DET,G
Calvin Pickard,EDM,G
Connor Ingram,EDM,G
Tristan Jarry,EDM,G
Aleksander Barkov,FLA,C
Daniil Tarasov,FLA,G
Sergei Bobrovsky,FLA,G
Anton Forsberg,LAK,G
Darcy Kuemper,LAK,G
Cal Petersen,MIN,G
Chase Wutzke,MIN,G
Filip Gustavsson,MIN,G
Jesper Wallstedt,MIN,G
Riley Mercer,MIN,G
Jacob Fowler,MTL,G
Jakub Dobes,MTL,G
Samuel Montembeault,MTL,G
Juraj Slafkovský,MTL,L
Jacob Markstrom,NJD,G
Jake Allen,NJD,G
Ross Colton,NSH,C
Justus Annunen,NSH,G
Juuse Saros,NSH,G
Aiden Fink,NSH,R
David Rittich,NYI,G
Ilya Sorokin,NYI,G
Semyon Varlamov,NYI,G
Dylan Garand,NYR,G
Igor Shesterkin,NYR,G
Jonathan Quick,NYR,G
Alexis Lafrenière,NYR,L
Tim Stützle,OTT,C
James Reimer,OTT,G
Leevi Meriläinen,OTT,G
Linus Ullmark,OTT,G
Graeme Clarke,OTT,R
Oskar Pettersson,OTT,R
Tyler Boucher,OTT,R
Helge Grans,PHI,D
Simon Benoit,PHI,D
Aleksei Kolosov,PHI,G
Carson Bjarnason,PHI,G
Dan Vladar,PHI,G
Joseph Woll,PHI,G
Samuel Ersson,PHI,G
Oscar Eklind,PHI,L
Arturs Silovs,PIT,G
Stuart Skinner,PIT,G
Joey Daccord,SEA,G
Matt Murray,SEA,G
Philipp Grubauer,SEA,G
Mackie Samoskevich,SEA,R
Michael Kesselring,SJS,D
Alex Nedeljkovic,SJS,G
Yaroslav Askarov,SJS,G
Joel Hofer,STL,G
Jordan Binnington,STL,G
Andrei Vasilevskiy,TBL,G
Harrison Meneghin,TBL,G
Jonas Johansson,TBL,G
Darren Raddysh,TOR,D
Emil Andrae,TOR,D
Anthony Stolarz,TOR,G
Joseph Woll,TOR,G
Samuel Ersson,TOR,G
Cam Hebig,UTA,C
Maksymilian Szuber,UTA,D
Scott Perunovich,UTA,D
Jaxson Stauber,UTA,G
Karel Vejmelka,UTA,G
Matt Villalta,UTA,G
Vitek Vanecek,UTA,G
Ben McCartney,UTA,L
Aatu Räty,VAN,C
Kevin Lankinen,VAN,G
Nikita Tolopilo,VAN,G
Thatcher Demko,VAN,G
Jeremy Davies,VGK,D
Adin Hill,VGK,G
Akira Schmid,VGK,G
Carl Lindbom,VGK,G
Carter Hart,VGK,G
Trevor Connelly,VGK,L
Connor Hellebuyck,WPG,G
Eric Comrie,WPG,G
Martin Fehérváry,WSH,D
Charlie Lindgren,WSH,G
Clay Stevenson,WSH,G
Logan Thompson,WSH,G
